aep,Is_holiday1,Is_holiday2,Is_Weekend1,Is_Weekend2,sin_month,cos_month,sin_week,cos_week,sin_hour,cos_hour,sin_wintert,cos_wintert,sin_springt,cos_springt,sin_summert,cos_summert,sin_fallt,cos_fallt,sin_year_dayt ,cos_year_dayt 
0.21028943896950414,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.25881904510252074,0.9659258262890683,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.17583611391324594,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.1569799022270505,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,0.7071067811865476,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.14960813222627456,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.1561263288585396,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.20260727865290606,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.3121750601381238,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.3840304182509505,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.40614572825327844,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.4228292077287189,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.43245130751920546,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,0.258819045102521,-0.9659258262890682,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.44277178552029184,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
0.44502211531000235,1.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,-0.9997685019798909,0.021516097436222233
